04/04/10,"Yankees at Red Sox","Fenway Park",05:05:00 PM,06:05:00 PM,07:05:00 PM,08:05:00 PM
04/05/10,"Blue Jays at Rangers","Rangers Ballpark in Arlington",11:05:00 AM,12:05:00 PM,01:05:00 PM,02:05:00 PM
04/05/10,"Cardinals at Reds","Great American Ball Park",10:10:00 AM,11:10:00 AM,12:10:00 PM,01:10:00 PM
04/05/10,"Cubs at Braves","Turner Field",01:10:00 PM,02:10:00 PM,03:10:00 PM,04:10:00 PM
04/05/10,"Dodgers at Pirates","PNC Park",10:35:00 AM,11:35:00 AM,12:35:00 PM,01:35:00 PM
04/05/10,"Giants at Astros","Minute Maid Park",04:05:00 PM,05:05:00 PM,06:05:00 PM,07:05:00 PM
04/05/10,"Indians at White Sox","U.S. Cellular Field",11:05:00 AM,12:05:00 PM,01:05:00 PM,02:05:00 PM
04/05/10,"Mariners at Athletics","Oakland Coliseum",07:05:00 PM,08:05:00 PM,09:05:00 PM,10:05:00 PM
04/05/10,"Marlins at Mets","Citi Field",10:10:00 AM,11:10:00 AM,12:10:00 PM,01:10:00 PM
04/05/10,"Padres at Diamondbacks","Chase Field",02:10:00 PM,03:10:00 PM,04:10:00 PM,05:10:00 PM
04/05/10,"Phillies at Nationals","Nationals Park",10:05:00 AM,11:05:00 AM,12:05:00 PM,01:05:00 PM
04/05/10,"Rockies at Brewers","Miller Park",11:10:00 AM,12:10:00 PM,01:10:00 PM,02:10:00 PM
04/05/10,"Tigers at Royals","Kauffman Stadium",01:10:00 PM,02:10:00 PM,03:10:00 PM,04:10:00 PM
04/05/10,"Twins at Angels","Angel Stadium of Anaheim",07:05:00 PM,08:05:00 PM,09:05:00 PM,10:05:00 PM
04/06/10,"Giants at Astros","Minute Maid Park",05:05:00 PM,06:05:00 PM,07:05:00 PM,08:05:00 PM
04/06/10,"Mariners at Athletics","Oakland Coliseum",07:05:00 PM,08:05:00 PM,09:05:00 PM,10:05:00 PM
04/06/10,"Orioles at Rays","Tropicana Field",04:10:00 PM,05:10:00 PM,06:10:00 PM,07:10:00 PM
04/06/10,"Padres at Diamondbacks","Chase Field",06:40:00 PM,07:40:00 PM,08:40:00 PM,09:40:00 PM
04/06/10,"Rockies at Brewers","Miller Park",05:10:00 PM,06:10:00 PM,07:10:00 PM,08:10:00 PM
04/06/10,"Twins at Angels","Angel Stadium of Anaheim",07:05:00 PM,08:05:00 PM,09:05:00 PM,10:05:00 PM
04/06/10,"Yankees at Red Sox","Fenway Park",04:10:00 PM,05:10:00 PM,06:10:00 PM,07:10:00 PM
04/07/10,"Blue Jays at Rangers","Rangers Ballpark in Arlington",05:05:00 PM,06:05:00 PM,07:05:00 PM,08:05:00 PM
